code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
BDH,001,Blé dur d’hiver - Récolte en grains,01.11.11,Blé dur,1
BDH,002,Blé dur d’hiver - Récolte plante entière,01.11.11,Blé dur,1
BDP,,Blé dur de printemps,01.11.11,Blé dur,1
BDP,001,Blé dur de printemps - Récolte en grains,01.11.11,Blé dur,1
BDP,002,Blé dur de printemps - Récolte plante entière,01.11.11,Blé dur,1
BDT,,Blé dur de printemps semé tardivement (après le 31/05),01.11.11,Blé dur,1
BEA,,Banane export - autre,01.22.12,"Bananes, bananes plantains et assimilés",1
BEF,,Banane export - fermage,01.22.12,"Bananes, bananes plantains et assimilés",1
BEF,001,Banane export - fermage,01.22.12,"Bananes, bananes plantains et assimilés",1
BEF,002,Banane export - propriété ou faire valoir direct,01.22.12,"Bananes, bananes plantains et assimilés",1
BEF,003,Banane export - indivision,01.22.12,"Bananes, bananes plantains et assimilés",1
BEF,004,Banane export - réforme foncière,01.22.12,"Bananes, bananes plantains et assimilés",1
BEF,005,Banane export - Autre,01.22.12,"Bananes, bananes plantains et assimilés",1
BEI,,Banane export - indivision,01.22.12,"Bananes, bananes plantains et assimilés",1
BEP,,Banane export - propriété ou faire valoir direct,01.22.12,"Bananes, bananes plantains et assimilés",1
BER,,Banane export - réforme foncière,01.22.12,"Bananes, bananes plantains et assimilés",1
BFP,,Bande admissible le long d’une forêt avec production,01.99.10.1,Bande tampon ou fleurie,1
BFS,,Bande admissible le long d’une forêt sans production,01.99.10.2,Bordure de champ ou de forêt,1
BLT,,Bleuet,01.28.30.34,Bleuet,1
BOP,,Bois pâturé,01.95.11,Bois pâturés et parcours ligneux,1
BOR,,Bordure de champ,01.99.10.2,Bordure de champ ou de forêt,1
BRH,,Bourrache de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
BRO,,Brome de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
BTA,,Bande tampon,01.99.10.1,Bande tampon ou fleurie,1
BTH,,Blé tendre d’hiver,01.11.12,Blé tendre,1
BTH,001,Blé tendre d’hiver - Récolte en grains,01.11.12,Blé tendre,1
BTH,002,Blé tendre d’hiver - Récolte plante entière,01.11.12,Blé tendre,1
BTN,,Betterave non fourragère / Bette,"01.13.19.6,01.13.49.2","Blettes, Betteraves rouges et à salade",0
BTN,001,Betterave à sucre,01.13.71,Betteraves à sucre,1
BTN,002,Betterave fourragère,01.19.10.2,Betterave fourragère,1
BTN,003,Betterave potagère,01.13.49.2,Betteraves rouges et à salade,1
BTN,004,Autre betterave,"01.13.71,01.19.10.2,01.13.49.2",,0
BTP,,Blé tendre de printemps,01.11.12,Blé tendre,1
BTP,001,Blé tendre de printemps - Récolte en grains,01.11.12,Blé tendre,1
BTP,002,Blé tendre de printemps - Récolte plante entière,01.11.12,Blé tendre,1
BUR,,Bugle rampante,01.28.30.35,Bugle rampant,1
BVF,,Betterave fourragère,01.19.10.2,Betterave fourragère,1
CAB,,Caroube,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
CAC,,Café / Cacao,"01.27.11,01.27.14","Café vert, en cerise ou en grain,Cacao en fèves",0
CAC,001,Café,01.27.11,"Café vert, en cerise ou en grain",1
CAC,002,Cacao,01.27.14,Cacao en fèves,1
CAE,,Châtaigneraie entretenue par des porcins ou des petits ruminants,01.95.11,Bois pâturés et parcours ligneux,1
CAE,001,Châtaigneraie entretenue par des porcins ou des petits ruminants - Futaie (< 100 châtaigniers/ha),01.95.11,Bois pâturés et parcours ligneux,1
CAE,002,Châtaigneraie entretenue par des porcins ou des petits ruminants- Taillis sous futaie de châtaigniers,01.95.11,Bois pâturés et parcours ligneux,1
CAE,003,Châtaigneraie entretenue par des porcins ou des petits ruminants - Taillis dense de châtaigniers,01.95.11,Bois pâturés et parcours ligneux,1
CAF,,Carotte fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
CAG,,Autre céréale d’un autre genre,01.11.49.9,Autres céréales,1
CAG,001,Autre céréale d’un autre genre - Récolte en grains,01.11.49.9,Autres céréales,1
CAG,002,Autre céréale d’un autre genre - Récolte plante entière,01.11.49.9,Autres céréales,1
CAH,,Autre céréale ou pseudocéréale secondaire d’hiver,01.11.49.9,Autres céréales ou pseudo céréales,1
CAH,001,Autre céréale ou pseudocéréale secondaire d’hiver - Récolte en grains,01.11.49.9,Autres céréales ou pseudo céréales,1
CAH,002,Autre céréale ou pseudocéréale secondaire d’hiver - Récolte plante entière,01.11.49.9,Autres céréales ou pseudo céréales,1
CAR,,Carotte,01.13.41.1,Carottes,1
CAR,001,Carotte potagère,01.13.41.1,Carottes,1
CAR,002,Carotte fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
CAR,003,Carotte Terrapur,01.93,Engrais vert,1
CAV,,Carvi,01.28.14.9,"Cumin, carvi et genièvre, bruts",1
CBT,,Cerise bigarreau pour transformation,01.24.24,Cerises,1
CBT,001,Cerise bigarreau pour transformation - verger de plus de 5 ans,01.24.24,Cerises,1
CBT,002,Cerise bigarreau pour transformation - plantation de 5 ans ou moins,01.24.24,Cerises,1
