code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
FLP,002,Rhubarbe,01.13.19.5,Rhubarbe,1
FLP,003,Autre fruit pérenne,"01.22*,01.23*,01.24*,01.25*,01.26*",,0
FLP,004,Autre légume pérenne,01.13*,,0
FNO,,Fenouil,01.28.14.2,Fenouil doux et amer,1
FNU,,Fenugrec,01.28.19.41,Fenugrec,1
FNU,001,Récolte en grains,01.28.19.41,Fenugrec,1
FNU,002,Récolte plante entière,01.28.19.41,Fenugrec,1
FRA,,Fraise,01.25.13,Fraises,1
FSG,,Autre plante fourragère sarclée d’un autre genre,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
FVL,,Féverole d’hiver,01.11.72,"Fèves, sèches (yc féveroles)",1
FVL,001,Féverole d’hiver - Récolte en grains,01.11.72,"Fèves, sèches (yc féveroles)",1
FVL,002,Féverole d’hiver - Récolte plante entière,01.11.72,"Fèves, sèches (yc féveroles)",1
FVP,,Féverole de printemps,01.11.72,"Fèves, sèches (yc féveroles)",1
FVP,001,Féverole de printemps - Récolte en grains,01.11.72,"Fèves, sèches (yc féveroles)",1
FVP,002,Féverole de printemps - Récolte plante entière,01.11.72,"Fèves, sèches (yc féveroles)",1
FVT,,Féverole semée tardivement (après le 31/05),01.11.72,"Fèves, sèches (yc féveroles)",1
GAI,,Gaillet,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
GER,,Géranium,01.28.30.36,Géranium,1
GES,,Gesse,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
GES,001,Gesse - Récolte en grains,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
GES,002,Gesse - Récolte plante entière,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
GFP,,Autre graminée fourragère pure de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
GRA,,Graminée pure exclusivement pour gazon ou pour production de semences certifiées,01.19.10.11,Prairie temporaire,1
HAR,,Haricot / Flageolet,01.11.71,"Haricots, secs",1
HBL,,Houblon,01.28.2,Houblon en cônes,1
HPC,,Horticulture ornementale de plein champ,01.19.21,Fleurs coupées et boutons de fleurs,1
HSA,,Horticulture ornementale sous abri,01.19.21,Fleurs coupées et boutons de fleurs,1
J5M,,Jachère de 5 ans ou moins,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
J6P,,Jachère de 6 ans ou plus,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
J6S,,Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JAC,,Jachère (terre arable),01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JAC,001,Couvert herbacé,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JAC,002,Jachère mellifère liste nationale d’espèces pour l’écorégime,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JAC,003,Autre jachère fleurie/mellifère/apicole (respectant un cahier des charges),01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JAC,004,Jachère faunistique herbacée ni mellifère (respectant un cahier des charges),01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JAC,005,Repousses de cultures couvrantes,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JNO,,Jachère noire,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
JO5,,Jarosse implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
JO6,,Jarosse implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
JO7,,Jarosse implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
JO8,,Jarosse implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
JOD,,Jarosse déshydratée,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
JOS,,Autre jarosse,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LAV,,Lavande / Lavandin,"01.28.30.11,01.28.30.13","Lavande,Lavandin",0
LAV,001,Lavande,01.28.30.11,Lavande,1
LAV,002,Lavandin,01.28.30.12,Lavandin,1
LBF,,Laitue / Batavia / Feuille de chêne,"01.13.14,01.13.19.81,01.13.19.82","Laitues,Feuilles de chêne,Batavia",0
LBF,001,Endive,01.13.19.1,Endives,1
LBF,002,Laitue,01.13.14,Laitues,1
LBF,003,Mâche,01.13.19.83,Mâches,1
LBF,004,Autres salades,01.13.19.8*,,0
LDH,,Lupin doux d’hiver,01.11.79.1,Lupin,1
LDH,001,Lupin doux d’hiver - Récolte en grains,01.11.79.1,Lupin,1
LDH,002,Lupin doux d’hiver - Récolte plante entière,01.11.79.1,Lupin,1
LDP,,Lupin doux de printemps,01.11.79.1,Lupin,1
LDP,001,Lupin doux de printemps - Récolte en grains,01.11.79.1,Lupin,1
LDP,002,Lupin doux de printemps - Récolte plante entière,01.11.79.1,Lupin,1
LDT,,Lupin doux de printemps semé tardivement (après le 31/05),01.11.79.1,Lupin,1
LEC,,Lentille cultivée (non fourragère),01.11.74,"Lentilles, sèches",1
LEC,001,Lentille cultivée (non fourragère) - Récolte en grains,01.11.74,"Lentilles, sèches",1
LEC,002,Lentille cultivée (non fourragère) - Récolte plante entière,01.11.74,"Lentilles, sèches",1
LEF,,Lentille fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LFH,,Autre lupin fourrager d’hiver,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LFP,,Autre lupin fourrager de printemps,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LH5,,Lupin fourrager d’hiver implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LH6,,Lupin fourrager d’hiver implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LH7,,Lupin fourrager d’hiver implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LH8,,Lupin fourrager d'hiver implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LIF,,Lin fibres,01.16.19.1,Lin fibre,1
LIH,,Lin non textile d’hiver,01.11.91,Lin (graines),1
LIH,001,Lin non textile d’hiver - Récolte en grains,01.11.91,Lin (graines),1
LIH,002,Lin non textile d’hiver - Récolte plante entière,01.11.91,Lin (graines),1
LIP,,Lin non textile de printemps,01.11.91,Lin (graines),1
LIP,001,Lin non textile de printemps - Récolte en grains,01.11.91,Lin (graines),1
LIP,002,Lin non textile de printemps - Récolte plante entière,01.11.91,Lin (graines),1
LO7,,Lotier implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LO8,,Lotier implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LOT,,Lotier,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
LOT,001,Lotier - Récolte en grains,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
LOT,002,Lotier - Récolte plante entière,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
LP5,,Lupin fourrager de printemps implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LP6,,Lupin fourrager de printemps implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LP7,,Lupin fourrager de printemps implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LP8,,Lupin fourrager de printemps implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
LSA,,Légume sous abri,01.13.90.1,Légumes frais sous abris,1
LU5,,Luzerne implantée pour la récolte 2015,01.19.10.8,Luzerne,1
LU6,,Luzerne implantée pour la récolte 2016,01.19.10.8,Luzerne,1
LU7,,Luzerne implantée pour la récolte 2017,01.19.10.8,Luzerne,1
LU8,,Luzerne implantée pour la récolte 2018,01.19.10.8,Luzerne,1
LUD,,Luzerne déshydratée,01.19.10.8,Luzerne,1
LUZ,,Autre luzerne,01.19.10.8,Luzerne,1
LUZ,001,Autre luzerne - Variété à gazon Greenmed,01.19.10.8,Luzerne,1
LUZ,002,Autre luzerne - Autre variété,01.19.10.8,Luzerne,1
MAC,,Mâche,01.13.19.83,Mâches,1
MAV,,Mauve,01.28.30.43,Mauve,1
MC5,,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales,01.19.10.6,Mélanges fourragers,1
MC6,,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales,01.19.10.6,Mélanges fourragers,1
MC7,,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et de céréales,01.19.10.6,Mélanges fourragers,1
MC8,,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et d’oléagineux,01.19.10.6,Mélanges fourragers,1
MCR,,Mélange de céréales,01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
MCR,001,Récolte en grains,01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
MCR,002,Récolte plante entière,01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
MCS,,Mélange de céréales ou pseudo-céréales de printemps entre elles,01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
MCS,001,Mélange de céréales ou pseudo-céréales de printemps entre elles - Récolte en grains,01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
MCS,002,Mélange de céréales ou pseudo-céréales de printemps entre elles - Récolte plante entière,01.11.49.31,Mélanges Céréaliers (sans légumineuses),1
MCT,,Miscanthus,01.29.00.91,Miscanthus,1
MDI,,Maraîchage diversifié (plusieurs espèces de fruits et légumes majoritairement non pérennes,01.13.90.2,Légumes frais plein champ,1
MDI,001,Légumes frais et fruits (éligibles aide au maraîchage),01.13.90.2,Légumes frais plein champ,1
MDI,002,Légumes et/ou fruits et/ou PPAM (non éligible aide au maraîchage),01.13.90.2,Légumes frais plein champ,1
MDI,003,Légumes et/ou fruits conduits sous abattis,01.13.90.2,Légumes frais plein champ,1
ME5,,Mélilot implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
ME6,,Mélilot implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
ME7,,Mélilot implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
ME8,,Mélilot implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
MED,,Mélilot déshydraté,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
MEL,,Autre mélilot,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
MH5,,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d’herbacées ou de graminées fourragères,01.19.10.6,Mélanges fourragers,1
MH6,,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d’herbacées ou de graminées fourragères,01.19.10.6,Mélanges fourragers,1
MH7,,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et d’herbacées ou de graminées fourragères,01.19.10.6,Mélanges fourragers,1
MI7,,Minette implanté pour la récolte 2017,01.19.10.8,Luzerne,1
MI8,,Minette implanté pour la récolte 2018,01.19.10.8,Luzerne,1
MID,,Maïs doux,01.11.20.1,Maïs doux,1
MIE,,Maïs ensilage,01.19.10.5,Maïs fourrager,1
MIN,,Minette,01.19.10.8,Luzerne,1
MIS,,Maïs (hors maïs doux),01.11.20.2,Maïs grain (hors maïs doux),1
MIS,001,Récolte en grains,01.11.20.2,Maïs grain (hors maïs doux),1
MIS,002,Récolte ensilage,01.19.10.5,Maïs fourrager,1
MIS,003,Récolte en vert,01.11.20.2,Maïs grain (hors maïs doux),1
ML5,,Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles),01.19.10.6,Mélanges fourragers,1
ML6,,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),01.19.10.6,Mélanges fourragers,1
ML7,,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),01.19.10.6,Mélanges fourragers,1
ML8,,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),01.19.10.6,Mélanges fourragers,1
MLC,,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,01.19.10.6,Mélanges fourragers,1
MLC,001,Légumineuses fourragères et céréales et/ou oléagineux uniquement,01.19.10.6,Mélanges fourragers,1
MLC,002,Autre mélange de légumineuses fourragères prépondérantes avec d’autres espèces sans graminées,01.19.10.6,Mélanges fourragers,1
MLD,,Mélange de légumineuses déshydratées (entre elles),01.11.49.32,Mélanges Céréales-légumineuses,1
MLF,,Mélange de légumineuses fourragères (entre elles),01.19.10.6,Mélanges fourragers,1
MLF,001,Mélange de légumineuses fourragères (entre elles) - Récolte en grains,01.19.10.6,Mélanges fourragers,1
MLF,002,Mélange de légumineuses fourragères (entre elles) - Récolte plante entière,01.19.10.6,Mélanges fourragers,1
MLG,,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins,01.19.10.6,Mélanges fourragers,1
MLG,001,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins - Mélange implanté pour l’années de la demande,01.19.10.6,Mélanges fourragers,1
MLG,002,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins - Mélange déjà en place lors de la précédente déclaration PAC,01.19.10.6,Mélanges fourragers,1
MLI,,Mélisse,01.28.30.6,Mélisse,1
MLO,,Melon,01.13.29.1,Melons,1
MLO,001,Melon,01.13.29.1,Melons,1
MLO,002,Pastèque,01.13.21,Pastèques,1
MLP,,Millepertuis,01.28.30.71,Millepertuis,1
MLS,,Mélange de légumineuses non fourragères prépondérantes et de céréales et/ou d'oléagineux,01.11.49.32,Mélanges Céréales-légumineuses,1
MLT,,Millet,01.11.42,Millet,1
MLT,001,Millet - Récolte en grains,01.11.42,Millet,1
MLT,002,Millet - Récolte plante entière,01.11.42,Millet,1
MOH,,Moha,01.11.49.5,Moha,1
MOH,001,Moha - Récolte en grains,01.11.49.5,Moha,1
MOH,002,Moha -Récolte plante entière,01.11.49.5,Moha,1
MOL,,Mélange d’oléagineux,01.11.99.8,Mélange d'oléagineux prépondérants,1
MOT,,Moutarde,01.11.92,Moutarde (graines),1
MOT,001,Moutarde - Récolte en grains,01.11.92,Moutarde (graines),1
MOT,002,Moutarde - Récolte plante entière,01.11.92,Moutarde (graines),1
MPA,,Autre mélange de plantes fixant l’azote,01.93,Engrais vert,1
MPC,,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales,01.11.49.32,Mélanges Céréales-légumineuses,1
MPC,001,Légumineuses à graines et céréales,01.11.49.32,Mélanges Céréales-légumineuses,1
MPC,002,Autre mélange de légumineuse à graines et céréales et/ou oléagineux,01.11.49.32,Mélanges Céréales-légumineuses,1
MPP,,Mélange de protéagineux (pois et/ou lupin et/ou féverole),01.11.49.32,Mélanges Céréales-légumineuses,1
MPT,,Mélange de protéagineux semés tardivement (après le 31/05),01.11.49.32,Mélanges Céréales-légumineuses,1
MRG,,Marguerite,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
MRJ,,Marjolaine / Origan,"01.28.30.2,01.28.19.42","Marjolaine,Origans",0
MRS,,Marais salant,08.93.1,Sel de mer,1
MSW,,"Culture pérenne à forte biomasse (miscanthus, switchgrass, silphie, canne fourragère, …)",*,,0
MSW,001,Miscanthus,01.29.00.91,Miscanthus,1
MSW,002,Switchgrass,*,,0
MSW,003,Canne fourragère,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
MSW,004,Silphie perfoliée,*,,0
MSW,005,Autre culture à forte biomasse hors bambou,*,,0
MTH,,Menthe,01.28.19.3,Menthe,1
NOS,,Noisette,01.25.33,Noisettes,1
NOS,001,Noisettes - Verger de plus de 5 ans,01.25.33,Noisettes,1
NOS,002,Noisettes - Verger de 5 ans ou moins,01.25.33,Noisettes,1
NOX,,Noix,01.25.35,Noix,1
NOX,001,Noix - Verger de plus de 5 ans,01.25.35,Noix,1
NOX,002,Noix - Verger de 5 ans ou moins,01.25.35,Noix,1
NVE,,Navette d’été,01.11.93,Colza,1
NVF,,Navet fourrager,01.19.10.4,Colza fourrager,1
NVH,,Navette d’hiver,01.11.93,Colza,1
NVT,,Navet,01.13.41.2,Navets,1
NVT,001,Navet potager,01.13.41.2,Navets,1
NVT,002,"Navet fourrager, Rutabaga, Chou navet","01.19.10.9,01.13.49.6",,0
NVT,003,Salsifis,01.13.49.5,Salsifis,1
NVT,004,Panais,01.13.49.4,Panais,1
NVT,005,Topinambour,01.13.49.9,"Autres légumes à racine, à bulbe ou à tubercules n.c.a.",1
NVT,006,Autre légume racine annuel,01.13.49.9,"Autres légumes à racine, à bulbe ou à tubercules n.c.a.",1
NYG,,Nyger,01.11.99.9,Autres oléagineux n.c.a.,1
OAG,,Autre oléagineux d’un autre genre,01.11.99.9,Autres oléagineux n.c.a.,1
OAG,001,Autre oléagineux d’un autre genre - Récolte en grains,01.11.99.9,Autres oléagineux n.c.a.,1
OAG,002,Autre oléagineux d’un autre genre - Récolte plante entière,01.11.99.9,Autres oléagineux n.c.a.,1
OEH,,Autre oléagineux d’espèce Helianthus,01.11.99.9,Autres oléagineux n.c.a.,1
OEI,,Œillette,01.11.99.9,Autres oléagineux n.c.a.,1
OEI,001,Œillette - Récolte en grains,01.11.99.9,Autres oléagineux n.c.a.,1
OEI,002,Œillette - Récolte plante entière,01.11.99.9,Autres oléagineux n.c.a.,1
OHN,,Autre oléagineux d’hiver d’espèce Brassica napus,01.11.99.9,Autres oléagineux n.c.a.,1
OHR,,Autre oléagineux d’hiver d’espèce Brassica rapa,01.11.99.9,Autres oléagineux n.c.a.,1
OHR,001,Autre oléagineux d’hiver d’espèce Brassica rapa - Récolte en grains,01.11.99.9,Autres oléagineux n.c.a.,1
OHR,002,Autre oléagineux d’hiver d’espèce Brassica rapa - Récolte plante entière,01.11.99.9,Autres oléagineux n.c.a.,1
OIG,,Oignon / Échalote,01.13.43.1,Oignons,1
OIG,001,Oignon,01.13.43.1,Oignons,1
OIG,002,Echalote,01.13.43.2,Echalotes,1
OLI,,Oliveraie,01.26.1,Olives,1
OLI,001,Oliveraie - Verger de plus de 5 ans,01.26.1,Olives,1
OLI,002,Oliveraie - Verger de 5 ans ou moins,01.26.1,Olives,1
OPN,,Autre oléagineux de printemps d’espèce Brassica napus,01.11.99.9,Autres oléagineux n.c.a.,1
OPR,,Autre oléagineux de printemps d’espèce Brassica rapa,01.11.99.9,Autres oléagineux n.c.a.,1
ORH,,Orge d'hiver,01.11.31,Orges,1
ORH,001,Orge d'hiver - Récolte en grains,01.11.31,Orges,1
ORH,002,Orge d'hiver - Récolte plante entière,01.11.31,Orges,1
ORP,,Orge de printemps,01.11.31,Orges,1
ORP,001,Orge de printemps - Récolte en grains,01.11.31,Orges,1
ORP,002,Orge de printemps - Récolte plante entière,01.11.31,Orges,1
ORT,,Ortie,01.28.30.37,Ortie,1
OSE,,Oseille,01.28.19.46,Oseille,1
PAG,,Autre protéagineux d’un autre genre,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
PAG,001,Autre protéagineux d’un autre genre - Récolte en grains,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
PAG,002,Autre protéagineux d’un autre genre - Récolte plante entière,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
PAN,,Panais,01.13.49.4,Panais,1
PAQ,,Pâquerette,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PAR,,Plante aromatique (autre que vanille),01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PAS,,Pastèque,01.13.21,Pastèques,1
PAT,,Pâturin commun de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
PCH,,Pois chiche,01.11.73,"Pois chiches, secs",1
PCH,001,Pois chiche - Récolte en grains,01.11.73,"Pois chiches, secs",1
PCH,002,Pois chiche - Récolte plante entière,01.11.73,"Pois chiches, secs",1
PCL,,Phacélie de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
PEP,,Pépinière,01.30.1,"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon",1
PEV,,Pépinière (plants laissés en terre moins d’un an),01.30.1,"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon",1
PFH,,Autre pois fourrager d’hiver,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PFP,,Autre pois fourrager de printemps,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PFR,,Petit fruit rouge,01.25.19.9,Autres baies (hors cassis et myrtilles),1
PFR,001,"Myrtille, mûre","01.25.19.2,01.25.19.6",,0
PFR,002,Framboise,01.25.12,Framboises,1
PFR,003,"Groseille, canneberge","01.25.19.5,01.25.19.4,01.25.19.9",,0
PFR,004,Argousier,01.25.19.9,Autres baies (hors cassis et myrtilles),1
PFR,005,Baie de goji,01.25.19.9,Autres baies (hors cassis et myrtilles),1
PFR,006,Cassis fruit,01.25.19.1,Cassis,1
PFR,007,Cassis feuille,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PH5,,Pois fourrager d’hiver implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PH6,,Pois fourrager d’hiver implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PH7,,Pois fourrager d’hiver implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PH8,,Pois fourrager d’hiver implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PHF,,Pois et haricot frais (alimentation humaine),01.11.79.9,Autres légumes secs,1
PHF,001,"Haricot frais (vert, beurre, mange-tout, …)",01.11.61,Haricot vert,0
PHF,002,Petit pois (frais ou semences),01.11.69.1,Petit pois,1
PHF,003,Pois gourmand ou mange-tout (pois frais),01.11.79.9,Autres légumes secs,1
PHI,,Pois d’hiver,01.11.75,"Pois, secs",1
PHI,001,Pois d’hiver - Récolte en grains,01.11.75,"Pois, secs",1
PHI,002,Pois d’hiver - Récolte plante entière,01.11.75,"Pois, secs",1
PHS,,Pois et haricot secs (alimentation humaine),01.11.79.9,Autres légumes secs,1
PHS,001,"Haricot sec et demi-sec (flageolet, coco, lingot, …)",01.11.71,"Haricots, secs",1
PHS,002,Pois cassé (pois sec),01.11.79.9,Autres légumes secs,1
PIS,,Pistache,01.25.34,Pistaches,1
PMD,,Plante médicinale,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PME,,Plantes médicinales pérennes (autres que arbres),01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PME,001,Gentiane,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PME,002,Hysope,01.28.30.32,Hysope,1
PME,003,Mélisse,01.28.30.6,Mélisse,1
PME,004,Sauge sclarée et officinale,"01.28.30.81,01.28.19.23",,0
PME,005,Verveine,"01.28.30.82,01.28.30.83",,0
PME,006,Autre plante médicinale pérenne (5 ans et plus),01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PME,007,Cassis bourgeon,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PMV,,Primevère,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
POR,,Poireau,01.13.44,Poireaux et autres alliacés,1
POT,,Potiron / Potimarron,01.13.39.32,Potiron / Potimarron,1
POT,001,Potiron,01.13.39.32,Potiron / Potimarron,1
POT,002,Citrouille,01.13.39.3,Courges et citrouilles,1
POT,003,Autres courges,01.13.39.3,Courges et citrouilles,1
PP5,,Pois fourrager de printemps implanté pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PP6,,Pois fourrager de printemps implanté pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PP7,,Pois fourrager de printemps implanté pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PP8,,Pois fourrager de printemps implanté pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
PPA,,"Autre plante à parfum, aromatique et médicinale annuelle",01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPF,,Plante à parfum (autre que géranium et vétiver),01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPH,,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),01.19.10.12,Prairie permanente,1
PPH,001,Prairie essentiellement de fauche,01.19.10.12,Prairie permanente,1
PPH,002,Prairie essentiellement pâturée,01.19.10.12,Prairie permanente,1
PPH,003,Prairie avec engagement MAEC souscrit avant 2023 et anciennement déclarée PRL,01.19.10.12,Prairie permanente,1
PPH,004,Prairie fauchée et pâturée,01.19.10.12,Prairie permanente,1
PPO,,Petits pois,01.11.69.1,Petit pois,1
PPP,,"Autre plante à parfum, aromatique et médicinale pérenne",01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,001,Ginkgo biloba,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,002,Hamamelis,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,003,Sureau,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,004,Tilleul,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,005,Vigne rouge,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,006,"Lingue café, Fleurs jaunes, Cannelle, Bois de rose",01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPP,007,Autre plante médicinale pérenne arbustive ou arborée,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PPR,,Pois de printemps semé avant le 31/05,01.11.75,"Pois, secs",1
PPR,001,Pois de printemps semé avant le 31/05 - Récolte en grains,01.11.75,"Pois, secs",1
PPR,002,Pois de printemps semé avant le 31/05 - Récolte plante entière,01.11.75,"Pois, secs",1
PPT,,Pois de printemps semé tardivement (après le 31/05),01.11.75,"Pois, secs",1
PRF,,Plantes à parfum pérennes autres que lavande et lavandin,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PRF,001,Géranium,01.28.30.36,Géranium,1
PRF,002,Hélichryse,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PRF,003,Vétiver,01.28.30.46,Vétiver,1
PRF,004,Violette,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PRF,005,Ylang-ylang,01.28.30.47,Ylang-ylang,1
PRF,006,Autre plante à parfum pérenne (5 ans et plus),01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PRL,,Prairie en rotation longue (6 ans ou plus),01.19.10.12,Prairie permanente,1
PRU,,"Prune (y compris mirabelle, quetsche, reine-claude, …)",01.24.27,Prunes,1
PRU,001,Prune d’Ente pour transformation - verger de plus de 5 ans,01.24.27,Prunes,1
