Code,Libellé,Synonymes,Couleur,Catégorie,Statut,Experimental,Commentaire,Délimitation Géographique
5093,PRESIDENT CARNOT B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
754,MADINA B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1722,TARDIF N,non,Noir,Cuve,valide depuis le 14/03/2018,Non,,Non
1601,TANNAT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
755,SULTANINE B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
752,EXALTA B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1721,MURESCONU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
753,PANSE PRECOCE B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
750,DANUTA B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
751,SERVANT B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
758,ITALIA RUBI RG,non,Rouge,Table,supprimé depuis le 01/01/1900,Non,,Non
759,MICHEL TOMPA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
756,CANNER SEEDLESS B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
757,VALENSI N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
8013,SEYVAL B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
7047,RAYON D'OR B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
8010,SEYVE VIL.DIV.B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6071,FLORENTAL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
7163,RUBILANDE RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
765,CHASSEL.CIOUTAT B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1613,TERRET GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
403,SAN MARTINO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
766,CHASSELAS MUSCAT B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1611,TERRET BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
763,CHASSELAS B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
401,SABALKANSKOI RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
