code_isapv,code_cpfbio
F14,01.19.10.11
F15,01.19.10.11
F15 I24,01.19.31
ZBS,01.11.69.2
ZBT ZFA,01.11.72
ZBT ZFB,01.11.72
F16,01.28.00.99
F17,01.22.14
ZCAZNG I34,01.11.71
F18,01.19.10.11
ZBU,01.19.10.11
I21,01.28.00.99
ZBVH51,01.25.13
ZBVH51 I35,01.25.13
ZBVH50 I35,01.25.13
ZBVH50,01.25.13
ZBVH49,01.25.13
ZBVH49 I35,01.25.13
ZBW,01.25.12
ZBWH50,01.25.12
I22,02.10.3
ZBX,01.92
ZBY,01.19.10.9
F19H21,01.22.19.5
F20,01.28.00.99
F21,01.28.00.99
F22,01.28.00.99
F23H12,01.28.00.99
F24,01.28.00.99
I24,01.11.79.9
I25,01.28.17
F25,01.28.00.99
F26,01.28.00.99
I26,01.22.19.9
F27,01.22.19.9
F28,01.19.10.9
F29,01.28.00.99
I27,01.22.19.9
F30,01.28.00.99
ZBZG91,01.25.19.5
ZBZG92,01.25.19.5
I28,01.28.00.99
F31,01.28.00.99
ZCAH13,01.11.71
ZCAZNI,01.11.71
ZCAZNG,01.11.61
ZCAZNG I36,01.13.6
I29,02.10.3
ZCC,01.28.2
F32,01.28.00.99
F33,01.13.49.9
F34,01.28.00.99
F35,01.19.21
ZCD,01.91
ZCE,01.91
ZCF,01.91
ZCH,01.91
ZCG,01.91
ZCI,01.91
F37,01.28.00.99
F38,01.22.19.9
F39,01.28.00.99
F40,01.22.19.7
F41,01.16.19.9
I30,01.19.10.11
F42,01.25.11
F43,01.25.11
ZCJG90,01.13.14
ZCJG90 I35,01.13.14
ZCJG99,01.13.14
ZCJG99 I35,01.13.14
ZCJH02 I35,01.13.14
ZCJH02,01.13.14
ZCJH20,01.13.14
ZCJH20 I35,01.13.14
ZCJH39,01.13.14
ZCJH39 I35,01.13.14
F44,01.28.00.99
F45,01.28.00.99
F46,01.28.19.52
F47,01.28.30.11
F47ZOB,01.28.30.12
F48,01.28.00.99
ZCK,01.11.74
F49,01.28.00.99
ZCLZERZFB,01.16.19.1
ZCLZER I36,01.16.19.1
ZCLZES,01.11.91
ZCLZES I31,01.11.91
ZCLZES I36,01.11.00.1
F50 I36,01.11.00.1
F50,01.28.00.99
F51,01.22.19.8
F52,01.28.00.99
I31,01.22.19.9
H68,01.11.79.9
ZCM,01.11.79.9
F53,01.11.79.9
ZCN ZFB,01.11.79.1
ZCN ZFA,01.11.79.1
ZCP ZFB,01.11.79.1
ZCP ZFA,01.11.79.1
ZCO ZFB,01.11.79.1
ZCO ZFA,01.11.79.1
ZCN ZFBI36,01.19.31
ZCQ,01.19.10.8
ZCQ I03,01.19.10.8
ZCQ I36,01.19.31
ZCQ I41,01.19.10.8
ZCR,01.13.19.83
ZCR I36,01.13.6
ZCR I35,01.13.19.83
ZCSZLL I04,01.11.20.1
ZCSZLL I05,01.11.20.1
ZCS I06,01.19.10.5
ZCS I07,01.11.20.2
ZCSZNX,01.11.20.2
ZCS I08,01.11.00.1
I32,01.13.49.9
F54,01.23.14
F55,01.22.19.6
I33,01.13.53
F56,01.28.30.2
F57,01.28.00.99
F58,01.28.30.31
F59,01.28.30.31
F60,01.28.30.43
H69,*
ZOC,*
H69 I10,01.19.10.11
F61,01.19.21
ZCU,01.19.10.6
H69H17,01.19.10.11
H69 I09,01.19.10.11
ZCT,01.19.10.11
H69H70,*
F62,01.19.21
I34,02.10.3
ZCV,01.19.10.9
F63,01.19.10.9
F64,01.19.10.9
F65,01.28.30.6
ZCWH55,01.13.29.1
ZCWH55 I35,01.13.29.1
ZCWH56,01.13.29.1
ZCWH56 I35,01.13.29.1
ZCWH52,01.13.29.1
ZCWH52 I35,01.13.29.1
ZCWH53,01.13.29.1
ZCWH53 I35,01.13.29.1
ZCWH54 I35,01.13.29.1
ZCWH54,01.13.29.1
F66,01.28.19.3
F67,01.28.00.99
I35,02.10.3
ZCX,01.28.30.71
ZNG,01.11.42
F68,01.11.42
ZCY,01.11.79.9
F69,01.29.00.91
