code_production	lbl_production	N°DQF	Produit (Cat 3)
01.16.19.1	Lin fibre	1151	Lin fibre
01.16.19.2	Chanvre	1145	Chanvre
01.16.19.9	Autres plantes textiles	1081	Autres cultures industrielles
01.19.10.11	Prairie temporaire	1126	Prairies temporaires
01.19.10.12	Prairie permanente	1127	Prairies permanentes
01.19.10.13	Parcours herbeux (hors estives collectives)	1128	Parcours herbeux
01.19.10.2	Betterave fourragère	1118	Betterave fourragère
01.19.10.3	Choux fourrager	1119	Choux fourrager
01.19.10.4	Colza fourrager	1120	Colza fourrager
01.19.10.5	Maïs fourrager	1121	Maïs fourrage
01.19.10.6	Mélanges fourragers	1122	Mélanges fourragers
01.19.10.7	Trèfle	1124	Trèfle
01.19.10.8	Luzerne	1125	Luzerne
01.19.10.9	Autres plantes et surfaces fourragères n.c.a.	1129	Autres cultures fourragères
01.19.21	Fleurs coupées et boutons de fleurs	1132	Fleurs et plantes ornementales
01.19.22	Semences florales	3001	Semences et plants
01.19.31	Semences de betteraves (à l'exclusion des semences de betteraves à sucre) et de plantes fourragères	3001	Semences et plants
01.21.11	Raisin de table	1076	Raisin de table
01.21.12	Raisin de cuve	1077	Raisin de cuve
01.22.11	Avocats	1075	Autres fruits
01.22.12	Bananes, bananes plantains et assimilés	1144	Bananes
01.22.13	Dattes	1075	Autres fruits
01.22.14	Figues	1072	Figues
01.22.19.1	Ananas	1143	Ananas
01.22.19.2	Grenades	1075	Autres fruits
01.22.19.3	Papayes	1075	Autres fruits
01.22.19.4	Fruits du Jaquier (durian)	1075	Autres fruits
01.22.19.5	Fruits de la passion	1075	Autres fruits
01.22.19.6	Mangues	1075	Autres fruits
01.22.19.7	Kakis	1075	Autres fruits
01.22.19.8	Litchis (letchis)	1075	Autres fruits
01.22.19.9	Autres fruits tropicaux et subtropicaux n.c.a.	1075	Autres fruits
01.23.11	Pomelos et pamplemousses	1068	Pamplemousses et pomelos
01.23.12	Citrons et limes	1067	Oranges et Citrons
01.23.13	Oranges	1067	Oranges et Citrons
01.23.14	Mandarines et clémentines	1066	Clémentines
01.23.19	Autres agrumes	1142	Autres Agrumes
01.24.10.1	Pommes à cidre	1059	Pommes à cidre et à jus
01.24.10.2	Pommes de table	1060	Pommes de table
01.24.21	Poires	1061	Poires
01.24.22	Coings	1140	Autres Fruits à pépin
01.24.23	Abricots	1053	Abricots
01.24.24	Cerises	1054	Cerises
01.24.25	Pêches	1055	Pêches
