code_production,libelle_cpf,lbl_production,précisions,indicateur,mesure,nomenclature,actif,lien_code,lien_direct,type,activites,sous_groupe,groupe
01.27.10.2,Rooibos,Rooibos,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.27.10.9,Autres plantes à boisson,Autre plante à boisson,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.27.11,"Café vert, en cerise ou en grain",Café,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.27.12,Thé en feuilles,Thé,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.27.13,Maté en feuilles,Maté,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.27.14,Cacao en fèves,Cacao (fèves),,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",Autre PPAM,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.11,"Poivre (piper spp.), brut",Poivre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.12,"Piments et poivrons (capsicum spp.) séchés, bruts",Piment et poivron séchés,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.13,"Muscade, macis et cardamome, bruts","Muscade, macis et cardamome",,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.14.1,Coriandre (graines),Coriandre (graines),,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.14.2,Fenouil doux et amer,Fenouil doux et amer,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.14.31,Anis,Anis,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.14.32,Badiane,Badiane,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.14.9,"Cumin, carvi et genièvre, bruts","Cumin, carvi et genièvre",,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.15,"Cannelle, brute",Cannelle,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.16,"Clous de girofle (entiers), bruts",Clou de girofle,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.17,"Gingembre séché, brut",Gingembre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.18,"Vanille, brute",Vanille,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.1,Sarriette,Sarriette,,Surface constatée,Hectare,BIO V1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.21,Romarin,Romarin,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.22,Safran,Safran,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.23,Sauge sclarée,Sauge sclarée,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.24,Serpolet,Serpolet,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.25,Thym,Thym,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.26,Aneth,Aneth,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.27,Basilic,Basilic,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.28,Camomille romaine,Camomille,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.29,Cerfeuil,Cerfeuil,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.3,Menthe,Menthe,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.31,Menthe douce,Menthe douce,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.32,Menthe poivrée,Menthe poivrée,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.41,Fenugrec,Fenugrec,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.42,Origans,Origan,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.43,Persil,Persil,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.44,Ciboulette,Ciboulette,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.45,Estragon,Estragon,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.46,Oseille,Oseille,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.47,Coriandre (herbe),Coriandre,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.48,Pensées,Pensée,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.51,Curcuma,Curcuma,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.19.52,Laurier (feuilles),Laurier,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.2,Houblon en cônes,Houblon,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.11,Lavande,Lavande,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.12,Lavandin,Lavandin,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.2,Marjolaine,Marjolaine,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.31,Matricaire,Matricaire,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.32,Hysope,Hysope,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.33,Bardane,Bardane,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.34,Bleuets,Bleuet,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.35,Bugle rampant,Bugle rampant,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.36,Géranium,Géranium,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.37,Ortie,Ortie,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.38,Psyllium noir de Provence,Psyllium noir,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.39,Plantain psyllium,Psyllium blond,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.41,Echinacées,Echinacée,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.42,Calendula,Calendula,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.43,Mauve,Mauve,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.44,Valériane,Valériane,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.45,Véronique,Véronique,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.46,Vétiver,Vétiver,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.47,Ylang-ylang,Ylang-ylang,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.48,Angélique,Angélique,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.49,Chardon Marie,Chardon Marie,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.5,Mélilot,Mélilot,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.51,Citronelle,Citronelle,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.6,Mélisse,Mélisse,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.71,Millepertuis,Millepertuis,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.72,Reine des prés,Reine des prés,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.81,Sauge officinale,Sauge officinale,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.82,Verveine odorante,Verveine odorante,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.28.30.83,Verveine officinale,Verveine officinale,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,"Plantes à parfums, aromatiques et médicinales","Plantes à parfums, aromatiques et médicinales et plantes à boissons"
01.29.00.91,Miscanthus,Miscanthus,,Surface constatée,Hectare,BIO v1.31,1,,,Surfaces,Production,Autres productions végétales,Autres surfaces
01.29.1,Caoutchouc naturel brut,Caoutchouc,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Autres productions végétales,Autres surfaces
01.29.2,Sapins et arbres de Noël coupés,Arbre de Noël,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Autres productions végétales,Autres surfaces
01.30.1,"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon",Plants,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.95.11,Bois pâturés et parcours ligneux,"Bois, lande, garrigue ou maquis pâturé",,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.19,"Bois non pâturés, sans cueillette","Bois, lande, garrigue ou maquis non pâturé",,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.21,Zone de cueillette de baies sauvages,Zone de cueillette de baies sauvages,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.22,Zone de cueillette de plantes à parfum aromatiques et médicinales sauvages,Zone de cueillette de PPAM,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.23,Zone de cueillette de champignons sauvages,Zone de cueillette de champignons sauvages,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.24,Autres zones de cueillette sauvage,Autre zone de cueillette sauvage,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.25,Zone de cueillette de fruits à coque,Zone de cueillette de fruits à coque,,Surface constatée,Hectare,BIO v1.5,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
02.10.11,Plants d'arbres forestiers,Plants d'arbres forestiers,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
02.10.12,Semences d'arbres forestiers,Semences d'arbres forestiers,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
02.10.3,Arbres forestiers,Arbre forestier,Surfaces destinées à la sylviculture,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.95.4,Estives ou alpages collectifs,Surface pastorale collective,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Zone boisée et cueillette sauvage,Autres surfaces
01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",Jachère,Surfaces entrant en rotation,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
01.92,"Gel fixe, friche, gel spécifique n’entrant pas en rotation",Gel fixe,"Friche, surfaces n’entrant pas en rotation",Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
01.93,Engrais vert,Engrais vert,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
01.99,Autres surfaces non productive et surfaces non agricoles,Autre surface non agricole,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
01.99.10.1,Bande tampon ou fleurie,Bande tampon ou fleurie,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
01.99.10.2,Bordure de champ ou de forêt,Bordure de champ ou de forêt,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
01.99.10.3,Haie et bosquet,Haie et bosquet,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Surfaces non productives,Autres surfaces
03.00.63,"Algues sauvages, destinées à l'alimentation humaine",Zone de cueillette d'algues sauvages,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Aquaculture et récolte de sel,Autres surfaces
03.00.64.1,Spiruline,Spiruline,,Surface constatée,Hectare,BIO v1.2,1,,,Surfaces,Production,Aquaculture et récolte de sel,Autres surfaces
03.00.64.9,Autres algues de culture pour l'alimentation humaine,Autres algues de culture,,Surface constatée,Hectare,BIO v1.2,1,,,Surfaces,Production,Aquaculture et récolte de sel,Autres surfaces
08.93.1,Sel de mer,Marais salant,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Aquaculture et récolte de sel,Autres surfaces
