code_production,libelle_cpf,lbl_production,précisions,indicateur,mesure,nomenclature,actif,lien_code,lien_direct,type,activites,sous_groupe,groupe
01.11.82,"Arachides, en coque",Arachide,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.91,Lin (graines),Lin non textile,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.92,Moutarde (graines),Moutarde,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.93,Colza,Colza et navette,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.94,Sésame,Sésame,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.95,Tournesol,Tournesol,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.96,Ricin,Ricin,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.99.1,Cameline,Cameline,,Surface constatée,Hectare,BIO v1.3,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.99.2,Jojoba,Jojoba,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.99.3,Carthames,Carthame,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.99.8,Mélange d'oléagineux prépondérants,Mélange d'oléagineux prépondérants,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.11.99.9,Autres oléagineux n.c.a.,Autre oléagineux,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Oléagineux,Grandes Cultures
01.12.1,"Riz, non décortiqué",Riz,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Céréales,Grandes Cultures
01.12.10.1,Semences de riz,Semences de riz,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.13.11,Asperges,Asperge,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.12,Choux,Chou,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.13,Choux-fleurs et brocolis,Chou-fleur et brocoli,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.14,Laitues,Laitue,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.15,Chicorées,Chicorée,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.16,Épinards,Épinard,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.17,Artichauts,Artichaut,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.1,Endives,Endive,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.2,Céleris branche,Céleri branche,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.4,Cresson,Cresson,,Surface constatée,Hectare,BIO v1.1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.5,Rhubarbe,Rhubarbe,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.6,Blettes,Blette,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
